#MP_Number	CNL	EG	EFermi	ValenceMax	CondMin	ENegDiff	Formula	Cost
570001	0.046844	0.17968799999999996	-0.4798440000000017	-0.04684400000000011	0.13284399999999863	0.21999999999999997	b'Al6Fe'	8.904374758033295e-05
570005	2.6201620000000005	5.109324000000001	-2.5901620000000007	-2.6201620000000005	2.4891620000000003	0.9100000000000001	b'SbBr3'	6.0
570008	0.799566	1.262132	-0.7455659999999997	-0.7995659999999996	0.4625660000000007	2.09	b'Sr3BiN'	40.05833333333333
570019	2.5292700000000004	4.087540000000001	-2.4892700000000003	-2.5292700000000004	1.5582700000000012	0.9700000000000002	b'CdI2'	10.748299319727892
570039	0.43902399999999997	0.948048	-0.43602399999999975	-0.43902399999999986	0.5090240000000001	1.56	b'La12Fe2I17'	35.04685047352274
570044	0.6006720000000001	1.557344	-0.5846720000000003	-0.6006720000000003	0.9566719999999993	1.06	b'NbI4'	8.222088835534214
570054	2.5300960000000003	4.0861920000000005	-2.4860960000000003	-2.5300960000000003	1.5560960000000006	0.9700000000000002	b'CdI2'	10.748299319727892
570074	0.07208199999999998	0.499164	-0.2520820000000006	-0.07208199999999998	0.4270819999999995	1.1899999999999997	b'Sc3IrC4'	2500.117606837607
570078	0.30687200000000003	0.6137440000000001	-0.40787200000000023	-0.30687200000000026	0.3078720000000006	1.1	b'La4MgIr'	2500.117681541582
570081	1.945816	3.1156319999999997	-1.7918159999999999	-1.9458159999999998	1.1688160000000005	0.7600000000000002	b'CuI'	2.0555222088835534
570082	2.529662	4.098324	-2.465662	-2.529662	1.5686619999999998	0.9700000000000002	b'CdI2'	10.748299319727892
570089	2.55323	4.14146	-2.52023	-2.55323	1.5882300000000003	0.9700000000000002	b'CdI2'	10.748299319727892
570099	0.20511600000000008	1.7002320000000002	-0.11311600000000022	-0.2051160000000003	1.4951159999999994	2.14	b'RbVBr3'	1.0219298245614035
570123	3.3267480000000003	6.1054960000000005	-3.292748	-3.3267480000000003	2.778748000000001	2.37	b'Cs3BiCl6'	41.61424148606812
570127	2.5304860000000002	4.065972	-2.4974860000000003	-2.5304860000000002	1.5354860000000001	0.9700000000000002	b'CdI2'	10.748299319727892
570136	1.9432940000000003	3.1115880000000002	-1.8542940000000008	-1.9432940000000007	1.1682939999999995	0.7600000000000002	b'CuI'	2.0555222088835534
570152	0.623312	1.368624	-0.5273120000000002	-0.6233120000000003	0.7453119999999993	0.6699999999999999	b'Co2(SnSe)3'	61.43030303030303
570165	2.536402	4.111804	-2.504402	-2.536402	1.5754020000000004	0.9700000000000002	b'CdI2'	10.748299319727892
570166	0.130336	0.392672	-0.3693359999999988	-0.13033599999999979	0.261336	0.5799999999999998	b'Zr6Si7Ni16'	0.22395754985754987
570168	3.7176860000000005	5.818372	-3.6796860000000002	-3.7176860000000005	2.100686	2.14	b'Rb2ZnBr4'	1.3793248945147678
570173	3.7027140000000003	4.230428	-3.6537140000000004	-3.7027140000000003	0.5287139999999999	2.3400000000000003	b'K2SnCl6'	0.48997290552584666
570186	1.313656	2.657312	-1.306656	-1.313656	1.343656	1.15	b'Ga2Te2Br7'	2002.438596491228
570188	-0.49144999999999994	1.0141	0.51945	0.49144999999999994	1.5055499999999995	1.33	b'ZrI3'	6.130141287284144
570203	0.427628	0.875256	-0.44662800000000047	-0.42762800000000034	0.4476280000000008	0.4999999999999998	b'MnCoSb'	5.034242424242424
570219	3.190586	4.268172	-3.1405860000000003	-3.190586	1.0775859999999997	1.18	b'InBr3'	7.25
570238	0.9658040000000001	1.5816080000000001	-0.8868039999999997	-0.9658040000000003	0.6158040000000007	0.4700000000000002	b'P10Au7I'	2260.115332455563
570259	4.872854	8.422708	-4.791854	-4.872854	3.5498540000000007	1.85	b'MgCl2'	0.01179918864097363
570262	3.924046	6.6810920000000005	-3.880046	-3.924046	2.7570460000000003	2.37	b'Cs3ZnCl5'	1.6210173609750362
570263	2.5914040000000003	4.1428080000000005	-2.5614040000000005	-2.5914040000000003	1.5524040000000001	0.9700000000000002	b'CdI2'	10.748299319727892
570270	0.3000000000000001	1.9240000000000002	-0.21299999999999986	-0.30000000000000004	1.624	1.56	b'NbSeCl3'	20.076470588235296
570271	0.20573199999999997	0.465464	-0.4437320000000007	-0.20573200000000025	0.25973199999999963	0.48	b'Ti4FeBi2'	80.00062193362193
570276	0.09954399999999997	0.24708799999999997	-0.34554399999999985	-0.09954399999999985	0.14754400000000079	0.31999999999999984	b'ZrZn'	0.020350535540408957
570285	3.7119440000000004	6.447888000000001	-3.701944	-3.7119440000000004	2.735944000000001	1.06	b'SiBr4'	1.333337037037037
